time,open,high,low,close,Volume,Volume MA
2012-05-18T13:30:00Z,42.05,45,38,38.2318,580587776,NaN
2012-05-21T13:30:00Z,36.53,36.66,33,34.03,168309808,NaN
2012-05-22T13:30:00Z,32.61,33.59,30.94,31,102053808,NaN
2012-05-23T13:30:00Z,31.37,32.5,31.36,32,73721120,NaN
2012-05-24T13:30:00Z,32.95,33.21001,31.77,33.03,50275872,NaN
2012-05-25T13:30:00Z,32.89999,32.95,31.11,31.91,37189632,NaN
2012-05-29T13:30:00Z,31.48,31.69,28.64999,28.84,78060816,NaN
2012-05-30T13:30:00Z,28.69501,29.55,27.86,28.19,57267872,NaN
2012-05-31T13:30:00Z,28.545,29.67,26.83,29.60001,111639184,NaN
2012-06-01T13:30:00Z,28.892,29.14999,27.39,27.72,41855504,NaN
2012-06-04T13:30:00Z,27.2,27.64999,26.44,26.89999,35230288,NaN
2012-06-05T13:30:00Z,26.7,27.75999,25.75,25.869,42473264,NaN
2012-06-06T13:30:00Z,26.07001,27.17,25.52,26.81,61487024,NaN
2012-06-07T13:30:00Z,27,27.35001,26.14999,26.31,26167760,NaN
2012-06-08T13:30:00Z,26.55,27.75999,26.44,27.10001,38033424,NaN
2012-06-11T13:30:00Z,27.17999,28.07001,26.83501,27.005,28225888,NaN
2012-06-12T13:30:00Z,27.48,27.77,26.96001,27.39999,15822414,NaN
2012-06-13T13:30:00Z,27.66,28.10001,27.10001,27.27,17118672,NaN
2012-06-14T13:30:00Z,27.64999,28.32001,27.38,28.28999,16854128,NaN
2012-06-15T13:30:00Z,28.505,30.10001,28.35001,30.01401,43563744,81296899.9
2012-06-18T13:30:00Z,29.955,32.08,29.41,31.41,42978208,54416421.5
2012-06-19T13:30:00Z,31.535,32.17999,30.7,31.911,30848912,47543376.7
2012-06-20T13:30:00Z,31.92,31.9288,31.14999,31.60001,15558922,43218632.4
2012-06-21T13:30:00Z,31.67,32.5,31.50999,31.84,21875232,40626338
2012-06-22T13:30:00Z,32.41,33.45,32.06,33.05,74834000,41854244.4
2012-06-25T13:30:00Z,32.86,33.02,31.55,32.06,24352816,41212403.6
2012-06-26T13:30:00Z,32.69,33.44,32.5,33.10001,24858608,38552293.2
2012-06-27T13:30:00Z,32.46001,32.89999,31.89999,32.23,28599504,37118874.8
2012-06-28T13:30:00Z,31.96001,32.19,30.89999,31.36,17713296,32422580.4
2012-06-29T13:30:00Z,31.92,31.99001,30.75999,31.095,19526832,31306146.8
2012-07-02T13:30:00Z,31.25,31.73,30.55,30.771,14131477,30251206.25
2012-07-03T13:30:00Z,30.91,31.44,30.8,31.2,8765496,28565817.85
2012-07-05T13:30:00Z,31.32001,31.625,31.02,31.47,10036688,25993301.05
2012-07-06T13:30:00Z,31.44,31.89999,31.25999,31.73,10949008,25232363.45
2012-07-09T13:30:00Z,32.10001,32.88,31.99001,32.17,17785184,24219951.45
2012-07-10T13:30:00Z,32.42999,32.48,31.1599,31.47,14276996,23522506.85
2012-07-11T13:30:00Z,31.48,31.56,30.55,30.97,13027754,23382773.85
2012-07-12T13:30:00Z,30.7,31.39999,30.60001,30.81,11306637,23092172.1
2012-07-13T13:30:00Z,31.03999,31.07001,30.56,30.72,8117348,22655333.1
2012-07-16T13:30:00Z,30.5,30.5,28.21001,28.245,24672080,21710749.9
2012-07-17T13:30:00Z,28.48,28.59,27.14999,28.09,30438544,21083766.7
2012-07-18T13:30:00Z,28.31,29.28999,28.14999,29.11,16841776,20383409.9
2012-07-19T13:30:00Z,29.41,29.5,28.63,29,13685031,20289715.35
2012-07-20T13:30:00Z,29,29.47,28.72,28.75999,11869047,19789406.1
2012-07-23T13:30:00Z,28.12,29,28.00999,28.75,12393863,16667399.25
2012-07-24T13:30:00Z,28.82001,29.45,28.10001,28.45,11539801,16026748.5
2012-07-25T13:30:00Z,28.39,29.49001,28.08,29.34,17230160,15645326.1
2012-07-26T13:30:00Z,27.75,28.23,26.73,26.845,64597376,17445219.7
2012-07-27T13:30:00Z,23.19,24.53999,22.28,23.705,123098320,22714470.9
2012-07-30T13:30:00Z,23.995,24.03999,23.03,23.14999,29285888,23202423.7
2012-07-31T13:30:00Z,23.37,23.37,21.61,21.71001,56179328,25304816.25
2012-08-01T13:30:00Z,21.5,21.58,20.84,20.88,44604368,27096759.85
2012-08-02T13:30:00Z,20.77,20.84,19.82001,20.03999,56374432,29413647.05
2012-08-03T13:30:00Z,20.36,22.16,19.89999,21.09,80647008,32898547.05
2012-08-06T13:30:00Z,21.39,22.14999,21.3,21.92,27778032,33398189.45
2012-08-07T13:30:00Z,22.2,22.45,20.5,20.72,36782832,34523481.25
2012-08-08T13:30:00Z,20.71001,21.14999,20.22,20.72,29537376,35348962.35
2012-08-09T13:30:00Z,20.75,21.17,20.61,21.00999,15618516,35564556.3
